"ITEM","TIPO","NOMBRE"
"1","CABECERA MUNICIPAL","SANTIAGO DE TOLU"
"2","BARRIO","PLAYA HERMOSA"
"3","BARRIO","COSTA AZUL"
"4","BARRIO","SAMORA"
"5","BARRIO","LAS GRACIA DE DIOS"
"6","BARRIO","EL SIMBOLO"
"7","BARRIO","LOS LAURELES"
"8","BARRIO","SAN ISIDRO"
"9","BARRIO","LA ESPERANZA"
"10","BARRIO","EL CANGREJO"
"11","BARRIO","URB MARAVILLA"
"12","BARRIO","SAN MIGUEL"
"13","BARRIO","EL ARROYITO"
"14","BARRIO","EL CENTRO"
"15","BARRIO","EL PROGRESO"
"16","BARRIO","EL SANTUARIO"
"17","BARRIO","EL EDEN"
"18","BARRIO","SAN FELIPE"
"19","BARRIO","VILLA NAZARETH"
"20","BARRIO","12 DE OCTUBRE"
"21","BARRIO","PUERTO TRIUNFO 1"
"22","BARRIO","PUERTO TRIUNFO 2"
"23","BARRIO","NUEVO PARAISO 1"
"24","BARRIO","NUEVO PARAISO 2"
"25","BARRIO","URB SANTIAGO APOSTOL"
"26","BARRIO","URB TULIO CESAR VILLALOBOS TAMARA"
"27","BARRIO","CALLE NUEVA"
"28","BARRIO","MAFUFO"
"29","BARRIO","SANTA CATALINA"
"30","BARRIO","URB EL MORROSQUILLO"
"31","BARRIO","EL PALMAR"
"32","BARRIO","URB BRISAS DEL MAR"
"33","BARRIO","CIUDADELA EL GOLFO"
"34","BARRIO","URB BETANIA"
"35","BARRIO","LUIS CARLOS GALAN"
"36","BARRIO","URB TOLUNUEVO"
"37","BARRIO","URB VILLA MARIA"
"38","BARRIO","EL MANANTIAL DE BRISAS"
"39","BARRIO","NUEVA EZPERANZA"
"40","CABECERA CORREGIMENTAL","PITA EN MEDIO"
"41","VEREDA","PITA ARRIBA"
"42","VEREDA","TUMBA"
"43","VEREDA","LAS CRUCES"
"44","VEREDA","VENTURA"
"45","CABECERA CORREGIMENTAL","PITA ABAJO"
"46","VEREDA","MARIBEL"
"47","VEREDA","LA LOMA"
"48","VEREDA","EL UBERRIMO"
"49","VEREDA","MACAYEPO"
"50","VEREDA","LAS PALMAS"
"51","VEREDA","EL MONACO"
"52","CABECERA CORREGIMENTAL","NUEVA ERA"
"53","VEREDA","EL CARMELO"
"54","VEREDA","SAN RAFAEL"
"55","CABECERA CORREGIMENTAL","SANTA LUCIA"
"56","VEREDA","MOLONGA"
"57","VEREDA","COCOSOLO"
"58","VEREDA","PUERTAS NEGRAS"
"59","VEREDA","EL PALMAR"
"60","CABECERA CORREGIMENTAL","PUERTO VIEJO"
"61","VEREDA","SANTA CLARA"
"62","VEREDA","LA MARTA (FRANJA IZQUIERDA)"
"63","SUBZONA","ALEGRIA"
"64","SUBZONA","FRANCES"
"65","SUBZONA","LA PERDIZ"
"66","SUBZONA","CAIMANERA"
