CATEGORIA,INFRAESTRUCTURA,ZONA,LATITUD,LONGITUD,Geo_Loc,Coordenadas,barrio_osm,municipio_osm,departamento_osm
GESTIÓN DEL RIESGO / SEGURIDAD,OFICINA DE GESTION DE RIESGO,URBANA,9.52273669176,-75.58405648862,POINT (-75.5840564886198 9.52273669176002),"9.52273669176002,-75.5840564886198",Centro,Tolú,Sucre
EQUIPAMIENTO RELIGIOSO,IGLESIA ADVENTISTA DEL SEPTIMO DIA EL SANTUARIO,URBANA,9.52401545431,-75.57303610735,POINT (-75.5730361073493 9.52401545430925),"9.52401545430925,-75.5730361073493",El Edén,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA NUEVA ERA SEDE PUERTAS NEGRAS,RURAL,9.45960059805,-75.53997297813,POINT (-75.5399729781332 9.45960059805443),"9.45960059805443,-75.5399729781332",,Tolú,Sucre
ESPACIO PÚBLICO,PARQUE HEREDIA,URBANA,9.52148805441,-75.57869781001,POINT (-75.57869781001 9.52148805440973),"9.52148805440973,-75.57869781001",El Progreso,Tolú,Sucre
COMERCIO Y SERVICIOS,MERCADO PUBLICO MUNICIPAL,URBANA,9.52267317831,-75.5798861058,POINT (-75.5798861057977 9.52267317830817),"9.52267317830817,-75.5798861057977",Ciudadela el Golfo,Tolú,Sucre
ATENCIÓN SOCIAL / DERECHOS HUMANOS,OFICINA DE ENLACE PARA LAS VICTIMAS,URBANA,9.52273669176,-75.58405648862,POINT (-75.5840564886198 9.52273669176002),"9.52273669176002,-75.5840564886198",Centro,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA JOSE YEMAIL TOUS - SEDE PRINCIPAL,URBANA,9.52258811143,-75.58159428656,POINT (-75.5815942865581 9.52258811142932),"9.52258811142932,-75.5815942865581",Centro,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA PUERTO VIEJO SEDE PRINCIPAL,RURAL,9.44953836985,-75.57889848823,POINT (-75.5788984882271 9.44953836984671),"9.44953836984671,-75.5788984882271",,Tolú,Sucre
EQUIPAMIENTO RELIGIOSO,TEMPLO SANTIAGO EL MAYOR - PARROQUIA,URBANA,9.52403804649,-75.58360546428,POINT (-75.5836054642776 9.52403804649452),"9.52403804649452,-75.5836054642776",El Progreso,Tolú,Sucre
ESPACIO PÚBLICO,PARQUE REGIONAL NATURAL MANGLARES DE GUACAMAYA,RURAL,9.61431652903,-75.57265455772,POINT (-75.5726545577224 9.61431652902802),"9.61431652902802,-75.5726545577224",,Tolú,Sucre
ESPACIO PÚBLICO,PARQUE PRINCIPAL DE SANTIAGO DE TOLU  ANTONIO FADUL,URBANA,9.52382997455,-75.5841855048,POINT (-75.5841855047992 9.52382997455125),"9.52382997455125,-75.5841855047992",Centro,Tolú,Sucre
INFRAESTRUCTURA DE TRANSPORTE,MUELLE TURISCO DE TOLU,URBANA,9.52185462835,-75.58653655705,POINT (-75.5865365570509 9.52185462835008),"9.52185462835008,-75.5865365570509",Centro,Tolú,Sucre
ESCENARIO DEPORTIVO,VILLA OLIMPICA,RURAL,9.52975465542,-75.5705973357,POINT (-75.5705973356989 9.52975465542165),"9.52975465542165,-75.5705973356989",Urbanización Tulio Villalobos,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA LUIS PATRON ROSANO,URBANA,9.52052948288,-75.57836826914,POINT (-75.5783682691402 9.52052948287539),"9.52052948287539,-75.5783682691402",Urbanización Golfo de Morrosquillo,Tolú,Sucre
EDUCACIÓN,INTITUCION EDUCATIVA PITA EN MEDIO - SEDE LAS CRUCES,RURAL,9.64815695271,-75.5076023863,POINT (-75.5076023863011 9.64815695270663),"9.64815695270663,-75.5076023863011",,Tolú,Sucre
EDUCACIÓN,INSTITUTO DIVINO NIÑO,URBANA,9.52504232273,-75.57967898167,POINT (-75.5796789816729 9.52504232272516),"9.52504232272516,-75.5796789816729",El Edén,Tolú,Sucre
BIENESTAR SOCIAL / PROGRAMAS SOCIALES,OFICINA DE RENTA CIUDADANA,URBANA,9.5228732703,-75.5822426843,POINT (-75.5822426842986 9.52287327029899),"9.52287327029899,-75.5822426842986",Calle Nueva,Tolú,Sucre
ESCENARIO DEPORTIVO,CANCA DE MICROFUTBOL VILLA NAZARTH,URBANA,9.52231503944,-75.57332204689,POINT (-75.5733220468925 9.52231503943724),"9.52231503943724,-75.5733220468925",El Edén,Tolú,Sucre
EQUIPAMIENTO FUNERARIO,CEMENTERIO CORREGIMIENTO PITA ABAJO,RURAL,9.6274417669,-75.51039798189,POINT (-75.5103979818878 9.62744176689855),"9.62744176689855,-75.5103979818878",,Tolú,Sucre
ESCENARIO DEPORTIVO,CANCHA DE FUTBOL VILLA NAZARETH,URBANA,9.52135019615,-75.57328846972,POINT (-75.5732884697161 9.52135019615221),"9.52135019615221,-75.5732884697161",Urbanización Tulio Villalobos,Tolú,Sucre
BIENESTAR SOCIAL / ATENCIÓN POBLACIONAL,HOGAR DE DÍA DEL ADULTO MAYOR,URBANA,9.51934170089,-75.58260203283,POINT (-75.5826020328267 9.5193417008916),"9.5193417008916,-75.5826020328267",El Palmar,Tolú,Sucre
EDUCACIÓN,INSTITUCION EDUCATIVA PAULO FREIRE,URBANA,9.53233056473,-75.58041779756,POINT (-75.5804177975628 9.53233056472996),"9.53233056472996,-75.5804177975628",San Isidro,Tolú,Sucre
